ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
Q21512824,,,Canada,,Mika Kaurismaki,,,video on demand,Canada,,,,English,The Girl King,2015-01-01,http://www.wikidata.org/entity/Q21512824,,,,Feature film,
Q66305378,,,Canada,,Gerald L'Ecuyer,,,,Canada,,,,English,The Grace of God,1998-01-01,http://www.wikidata.org/entity/Q66305378,,,,Feature film,
Q607328,,,Canada,,Thom Fitzgerald,,,video on demand,Canada,,,,English,The Hanging Garden,1997-01-01,http://www.wikidata.org/entity/Q607328,,,,Feature film,
Q67767827,,,Canada,,Jean-Yves Laforce,,,,Canada,,,,French,The Heart Exposed,1986-01-01,http://www.wikidata.org/entity/Q67767827,,,,Feature film,
Q42279997,,,Canada,,Chad Archibald,,,video on demand,Canada,,,,,The Heretics,2017-01-01,http://www.wikidata.org/entity/Q42279997,,,,Feature film,
Q7746073,,,Canada,,Cynthia Roberts,,,,Canada,,,,English,The Last Supper,1994-01-01,http://www.wikidata.org/entity/Q7746073,,,,Feature film,
Q7746407,,,Canada,,John Greyson,,,,Canada,,,,English,The Law of Enclosures,1999-01-01,http://www.wikidata.org/entity/Q7746407,,,,Feature film,
Q43302304,,,Canada,,Trevor Anderson,,,,Canada,,,,,The Little Deputy,2015-01-01,http://www.wikidata.org/entity/Q43302304,,,,Feature film,
Q1712162,,,Canada,,Samantha Lang,,,,Canada,,,,English,The Monkey's Mask,2000-01-01,http://www.wikidata.org/entity/Q1712162,,,,Feature film,
Q3988393,,,Canada,,Mary Harron,,,video on demand,Canada,,,,English,The Moth Diaries,2011-06-09,http://www.wikidata.org/entity/Q3988393,,,,Feature film,
Q3225268,,,Canada,,Pierre Falardeau,,,,Canada,,,,French,The Party,1990-01-01,http://www.wikidata.org/entity/Q3225268,,,,Feature film,
Q7756707,,,Canada,,Leonard Farlinger,,,,Canada,,,,English,The Perfect Son,2000-01-01,http://www.wikidata.org/entity/Q7756707,,,,Feature film,
Q56651760,,,Canada,,,,,,Canada,,,,English,The Pinco Triangle,1999-01-01,http://www.wikidata.org/entity/Q56651760,,,,Feature film,
Q2613800,,,Canada,,Bruce LaBruce,,,video on demand,Canada,,,,English,The Raspberry Reich,2004-01-01,http://www.wikidata.org/entity/Q2613800,,,,Feature film,
Q77906326,,,Canada,,Jamie Travis,,,,Canada,,,,,The Saddest Boy in the World,2006-01-01,http://www.wikidata.org/entity/Q77906326,,,,Feature film,
Q3227149,,,Canada,,Paule Baillargeon,,,,Canada,,,,French,The Sex of the Stars,1993-01-01,http://www.wikidata.org/entity/Q3227149,,,,Feature film,
Q26698156,,,Canada,,Guillermo del Toro,,,theatrical release,Canada,,,,English,The Shape of Water,2017-08-31,http://www.wikidata.org/entity/Q26698156,,,,Feature film,
Q69355007,,,Canada,,David Lambert,,,,Canada,,,,French,Third Wedding,2018-06-13,http://www.wikidata.org/entity/Q69355007,,,,Feature film,
Q26684109,,,Canada,,Mathieu Denis,,,,Canada,,,,French,Those Who Make Revolution Halfway Only Dig Their Own Graves,2016-01-01,http://www.wikidata.org/entity/Q26684109,,,,Feature film,
Q3529378,,,Canada,,Bertrand Bonello,,,,Canada,,,,French,Tiresia,2003-01-01,http://www.wikidata.org/entity/Q3529378,,,,Feature film,
Q65049194,,,Canada,,Mike Hoolboom,,,,Canada,,,,English,Tom,2002-12-09,http://www.wikidata.org/entity/Q65049194,,,,Feature film,
Q3530946,,,Canada,,Xavier Dolan,,,,Canada,,,,French,Tom at the Farm,2013-02-09,http://www.wikidata.org/entity/Q3530946,,,,Feature film,
Q65677858,,,Canada,,Peg Campbell,,,,Canada,,,,English,Too Close for Comfort,1990-01-01,http://www.wikidata.org/entity/Q65677858,,,,Feature film,
Q7823945,,,Canada,,Richard Benner,,,,Canada,,,,English,Too Outrageous!,1987-01-01,http://www.wikidata.org/entity/Q7823945,,,,Feature film,
Q2628332,,,Canada,,Ian Iqbal Rashid,,,video on demand,Canada,,,,English,Touch of Pink,2004-01-01,http://www.wikidata.org/entity/Q2628332,,,,Feature film,
Q65078488,,,Canada,,Michael Del Monte,,,video on demand,Canada,,,,,Transformer,2017-10-28,http://www.wikidata.org/entity/Q65078488,,,,Feature film,
Q18211662,,,Canada,,Shauna MacDonald,,,video on demand,Canada,,,,English,Tru Love,2013-01-01,http://www.wikidata.org/entity/Q18211662,,,,Feature film,
Q3542561,,,Canada,,Jacob Tierney,,,video on demand,Canada,,,,English,Twist,2003-01-01,http://www.wikidata.org/entity/Q3542561,,,,Feature film,
Q18170566,,,Canada,,Maureen Bradley,,,video on demand,Canada,,,,English,Two 4 One,2014-01-01,http://www.wikidata.org/entity/Q18170566,,,,Feature film,
Q24192020,,,Canada,,"Mark Kenneth Woods, Michael Yerxa",,,,Canada,,,,English,"Two Soft Things, Two Hard Things",2016-01-01,http://www.wikidata.org/entity/Q24192020,,,,Feature film,
Q28840475,,,Canada,,Bruce LaBruce,,,,Canada,,,,English,Ulrike's Brain,2017-11-02,http://www.wikidata.org/entity/Q28840475,,,,Feature film,
Q3549138,,,Canada,,Jean-Claude Lauzon,,,video on demand,Canada,,,,French,Un zoo la nuit,1987-01-01,http://www.wikidata.org/entity/Q3549138,,,,Feature film,
Q7882960,,,Canada,,John Greyson,,,,Canada,,,,English,Uncut,1997-01-01,http://www.wikidata.org/entity/Q7882960,,,,Feature film,
Q7914066,,,Canada,,Mark Kenneth Woods,,,,Canada,,,,English,Vance and Pepe's Porn Start,2011-01-01,http://www.wikidata.org/entity/Q7914066,,,,Feature film,
Q63871518,,,Canada,,Eisha Marjara,,,,Canada,,,,English,Venus,2017-09-10,http://www.wikidata.org/entity/Q63871518,,,,Feature film,
Q5176715,,,Canada,,Denis Cote,,,,Canada,,,,French,Vic+Flo ont vu un ours,2013-10-02,http://www.wikidata.org/entity/Q5176715,,,,Feature film,
Q20992499,,,Canada,,Guy Edoin,,,,Canada,,,,French,Ville-Marie,2015-01-01,http://www.wikidata.org/entity/Q20992499,,,,Feature film,
Q54021060,,,Canada,,Chandler Levack,,,video on demand,Canada,,,,English,We Forgot to Break Up,2017-01-01,http://www.wikidata.org/entity/Q54021060,,,,Feature film,
Q27958473,,,Canada,,Bruce McDonald,,,video on demand,Canada,,,,English,Weirdos,2016-09-09,http://www.wikidata.org/entity/Q27958473,,,,Feature film,
Q3296390,,,Canada,,Guy Edoin,,,,Canada,,,,French,Wetlands,2011-01-01,http://www.wikidata.org/entity/Q3296390,,,,Feature film,
Q52715693,,,Canada,,The Vicious Brothers,,,video on demand,Canada,,,,English,What Keeps You Alive,2018-01-01,http://www.wikidata.org/entity/Q52715693,,,,Feature film,
Q20925636,,,Canada,,Maxime Desmons,,,video on demand,Canada,,,,English,What We Have,2014-01-01,http://www.wikidata.org/entity/Q20925636,,,,Feature film,
Q540361,,,Canada,,Patricia Rozema,,,video on demand,Canada,,,,English,When Night Is Falling,1995-01-02,http://www.wikidata.org/entity/Q540361,,,,Feature film,
Q151848,,,Canada,,Atom Egoyan,,,video on demand,Canada,,,,English,Where the Truth Lies,2005-01-01,http://www.wikidata.org/entity/Q151848,,,,Feature film,
Q2567246,,,Canada,,Amnon Buchbinder,,,,Canada,,,,English,Whole New Thing,2005-12-09,http://www.wikidata.org/entity/Q2567246,,,,Feature film,
Q3050405,,,Canada,,Daniel MacIvor,,,video on demand,Canada,,,,English,Wilby Wonderful,2004-01-01,http://www.wikidata.org/entity/Q3050405,,,,Feature film,
Q1166161,,,Canada,,Joe Lynch,,,video on demand,Canada,,,,English,Wrong Turn 2: Dead End,2007-01-01,http://www.wikidata.org/entity/Q1166161,,,,Feature film,
Q1763158,,,Canada,,John Greyson,,,video on demand,Canada,,,,English,Zero Patience,1993-01-01,http://www.wikidata.org/entity/Q1763158,,,,Feature film,
Q30150708,,,Canada,,Ingrid Veninger,,,video on demand,Canada,,,,Canadian English,,2017-01-01,http://www.wikidata.org/entity/Q30150708,,,,Feature film,
