ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
Q39074033,,,Canada,,Justin Kelly,,,video on demand,Canada,,,,English,JT LeRoy,2018-01-01,http://www.wikidata.org/entity/Q39074033,,,,Feature film,
Q19885882,,,Canada,,Xavier Dolan,,,,Canada,,,,French,Juste la fin du monde,2016-01-01,http://www.wikidata.org/entity/Q19885882,,,,Feature film,
Q63450100,,,Canada,,Laurie Lynd,,,,Canada,,,,English,Killing Patient Zero,2019-01-01,http://www.wikidata.org/entity/Q63450100,,,,Feature film,
Q56452574,,,Canada,,Bruce Sweeney,,,,Canada,,,,English,Kingsway ,2018-01-01,http://www.wikidata.org/entity/Q56452574,,,,Feature film,
Q77895374,,,Canada,,Jean-Francois Rivard,,,,Canada,,,,French,Kuproquo,1999-01-01,http://www.wikidata.org/entity/Q77895374,,,,Feature film,
Q67383168,,,Canada,,Denis Langlois,,,video on demand,Canada,,,,French,L'Escorte,1996-11-09,http://www.wikidata.org/entity/Q67383168,,,,Feature film,
Q1799209,,,Canada,,Manon Briand,,,,Canada,,,,French,La Turbulence des fluides,2002-01-01,http://www.wikidata.org/entity/Q1799209,,,,Feature film,
Q6494189,,,Canada,,Paul-Emile d'Entremont,,,video on demand,Canada,,,,,Last Chance,2012-01-01,http://www.wikidata.org/entity/Q6494189,,,,Feature film,
Q77905981,,,Canada,,Justine Pimlott,,,,Canada,,,,,Laugh in the Dark,1999-01-01,http://www.wikidata.org/entity/Q77905981,,,,Feature film,
Q3221711,,,Canada,,Robert Lepage,,,,Canada,,,,French,Le Confessionnal,1995-01-01,http://www.wikidata.org/entity/Q3221711,,,,Feature film,
Q12125653,,,Canada,,Brad Fraser,,,video on demand,Canada,,,,English,Leaving Metropolis,2002-01-01,http://www.wikidata.org/entity/Q12125653,,,,Feature film,
Q3230333,,,Canada,,Patrick Huard,,,,Canada,,,,French,Les 3 P'tits Cochons,2007-01-01,http://www.wikidata.org/entity/Q3230333,,,,Feature film,
Q509799,,,Canada,,Troy Duffy,,,video on demand,Canada,,,,French,Les Anges de Boston,1999-01-01,http://www.wikidata.org/entity/Q509799,,,,Feature film,
Q1216970,,,Canada,,Dai Sijie,,,,Canada,,,,Mandarin Chinese,Les Filles du botaniste,2006-01-01,http://www.wikidata.org/entity/Q1216970,,,,Feature film,
Q65088396,,,Canada,,Myriam Fougere,,,,Canada,,,,French,Lesbiana: A Parallel Revolution,2012-06-21,http://www.wikidata.org/entity/Q65088396,,,,Feature film,
Q6545363,,,Canada,,Doug Karr,,,,Canada,,,,English,Lifecycles: A Story of AIDS in Malawi,2003-01-01,http://www.wikidata.org/entity/Q6545363,,,,Feature film,
Q580490,,,Canada,,John Greyson,,,video on demand,Canada,,,,English,Lilies,1996-01-01,http://www.wikidata.org/entity/Q580490,,,,Feature film,
Q902480,,,Canada,,Lea Pool,,,video on demand,Canada,,,,English,Lost and Delirious,2001-01-01,http://www.wikidata.org/entity/Q902480,,,,Feature film,
Q2579747,,,Canada,,Richard Kwietniowski,,,video on demand,Canada,,,,English,Love and Death on Long Island,1997-01-01,http://www.wikidata.org/entity/Q2579747,,,,Feature film,
Q1759628,,,Canada,,Denys Arcand,,,,Canada,,,,English,Love and Human Remains,1993-01-01,http://www.wikidata.org/entity/Q1759628,,,,Feature film,
Q18029440,,,Canada,,Rodrigue Jean,,,video on demand,Canada,,,,French,Love in The Time Of Civil War,2014-01-01,http://www.wikidata.org/entity/Q18029440,,,,Feature film,
Q1872432,,,Canada,,Vic Sarin,,,video on demand,Canada,,,,English,Love on the Side,2004-01-01,http://www.wikidata.org/entity/Q1872432,,,,Feature film,
Q54829043,,,Canada,,,,,,Canada,,,,English,"Love, Scott",2018-01-01,http://www.wikidata.org/entity/Q54829043,,,,Feature film,
Q39049807,,,Canada,,Wayne Wapeemukwa,,,,Canada,,,,,Luk Luk I,2017-01-01,http://www.wikidata.org/entity/Q39049807,,,,Feature film,
Q55621537,,,Canada,,Drew Lint,,,,Canada,,,,English,M/M,2018-01-01,http://www.wikidata.org/entity/Q55621537,,,,Feature film,
Q1231314,,,Canada,,Emile Gaudreault,,,video on demand,Canada,,,,French,Mambo Italiano,2003-01-01,http://www.wikidata.org/entity/Q1231314,,,,Feature film,
Q48674418,,,Canada,,,,,,Canada,,,,English,Manivald,2017-01-01,http://www.wikidata.org/entity/Q48674418,,,,Feature film,
Q14369911,,,Canada,,David Cronenberg,,,video on demand,Canada,,,,English,Maps to the Stars,2014-01-01,http://www.wikidata.org/entity/Q14369911,,,,Feature film,
Q22000428,,,Canada,,"Dominique Cardona, Laurie Colbert",,,video on demand,Canada,,,,English,Margarita,2012-01-01,http://www.wikidata.org/entity/Q22000428,,,,Feature film,
Q60918189,,,Canada,,Marianne Farley,,,video on demand,Canada,,,,French,Marguerite,2017-01-01,http://www.wikidata.org/entity/Q60918189,,,,Feature film,
Q67381025,,,Canada,,Mike Hoolboom,,,,Canada,,,,,Mark ,2009-10-22,http://www.wikidata.org/entity/Q67381025,,,,Feature film,
Q6772945,,,Canada,,,,,,Canada,,,,English,Married in Canada,2010-01-01,http://www.wikidata.org/entity/Q6772945,,,,Feature film,
Q577581,,,Canada,,Pascal Laugier,,,video on demand,Canada,,,,French,Martyrs,2008-01-05,http://www.wikidata.org/entity/Q577581,,,,Feature film,
Q56278436,,,Canada,,Xavier Dolan,,,video on demand,Canada,,,,French,Mathias & Maxime,2021-07-29,http://www.wikidata.org/entity/Q56278436,,,,Feature film,
Q5845289,,,Canada,,Rodrigue Jean,,,,Canada,,,,French,Men for Sale,2008-01-01,http://www.wikidata.org/entity/Q5845289,,,,Feature film,
Q66305382,,,Canada,,Clint Alberta,,,,Canada,,,,English,Miss 501: A Portrait of Luck,2002-01-01,http://www.wikidata.org/entity/Q66305382,,,,Feature film,
Q3867025,,,Canada,,Chip Hale,,,video on demand,Canada,,,,English,Mulligans,2008-01-01,http://www.wikidata.org/entity/Q3867025,,,,Feature film,
Q52586285,,,Canada,,,,,,Canada,,,,French,Mum's the Word,1996-01-01,http://www.wikidata.org/entity/Q52586285,,,,Documentary film,
Q20022643,,,Canada,,Kirk Jones,,,video on demand,Canada,,,,English,My Big Fat Greek Wedding 2,2016-01-01,http://www.wikidata.org/entity/Q20022643,,,,Feature film,
Q6945812,,,Canada,,Gerry Rogers,,,,Canada,,,,English,My Left Breast,2002-01-01,http://www.wikidata.org/entity/Q6945812,,,,Feature film,
Q15222789,,,Canada,,Chelsea McMullan,,,video on demand,Canada,,,,English,My Prairie Home,2013-09-29,http://www.wikidata.org/entity/Q15222789,,,,Feature film,
Q1755864,,,Canada,,David Cronenberg,,,video on demand,Canada,,,,English,Naked Lunch,1991-01-01,http://www.wikidata.org/entity/Q1755864,,,,Feature film,
Q3337915,,,Canada,,Robert Favreau,,,video on demand,Canada,,,,French,Nelligan,1991-01-01,http://www.wikidata.org/entity/Q3337915,,,,Feature film,
Q39050154,,,Canada,,Kathleen Hepburn,,,video on demand,Canada,,,,English,"Never Steady, Never Still",2017-01-01,http://www.wikidata.org/entity/Q39050154,,,,Feature film,
Q1024694,,,Canada,,Clive Barker,,,video on demand,Canada,,,,English,Nightbreed,1990-02-16,http://www.wikidata.org/entity/Q1024694,,,,Feature film,
Q7044978,,,Canada,,Bruce LaBruce,,,,Canada,,,,German,No Skin Off My Ass,1991-01-01,http://www.wikidata.org/entity/Q7044978,,,,Feature film,
Q7049584,,,Canada,,Ann Verrall,,,,Canada,,,,English,Nonsense Revolution,2008-01-01,http://www.wikidata.org/entity/Q7049584,,,,Feature film,
Q25136591,,,Canada,,Bretten Hannam,,,,Canada,,,,English,North Mountain,2015-09-23,http://www.wikidata.org/entity/Q25136591,,,,Feature film,
Q54020704,,,Canada,,Sook-Yin Lee,,,,Canada,,,,English,Octavio Is Dead!,2018-01-01,http://www.wikidata.org/entity/Q54020704,,,,Feature film,
Q17155556,,,Canada,,Charles Wilkinson,,,,Canada,,,,English,Oil Sands Karaoke,2013-01-01,http://www.wikidata.org/entity/Q17155556,,,,Feature film,
Q61740813,,,Canada,,,,,,Canada,,,,English,On My Way Out: The Secret Life of Nani and Popi,2017-01-01,http://www.wikidata.org/entity/Q61740813,,,,Feature film,
Q938858,,,Canada,,"Walter Salles,Sam Riley",,,video on demand,Canada,,,,French,On the Road,2012-05-23,http://www.wikidata.org/entity/Q938858,,,,Feature film,
Q60737758,,,Canada,,,,,,Canada,,,,French,One of the Guys,2018-01-01,http://www.wikidata.org/entity/Q60737758,,,,Feature film,
Q2297540,,,Canada,,Bruce LaBruce,,,video on demand,Canada,,,,German,Otto; or Up with Dead People,2008-01-01,http://www.wikidata.org/entity/Q2297540,,,,Feature film,
Q7137159,,,Canada,,Jerry Ciccoritti,,,,Canada,,,,English,"Paris, France",1993-09-17,http://www.wikidata.org/entity/Q7137159,,,,Feature film,
Q388342,,,Canada,,John Greyson,,,,Canada,,,,English,Pissoir,1988-01-01,http://www.wikidata.org/entity/Q388342,,,,Feature film,
Q22000523,,,Canada,,,,,,Canada,,,,English,Portrait of a Serial Monogamist,2015-01-01,http://www.wikidata.org/entity/Q22000523,,,,Feature film,
Q700905,,,Canada,,Uwe Boll,,,DVD,Canada,,,,English,Postal,2007-08-26,http://www.wikidata.org/entity/Q700905,,,,Feature film,
Q2278836,,,Canada,,John Greyson,,,video on demand,Canada,,,,English,Proteus,2003-01-01,http://www.wikidata.org/entity/Q2278836,,,,Feature film,
Q48674566,,,Canada,,,,,,Canada,,,,English,Punch,2002-10-09,http://www.wikidata.org/entity/Q48674566,,,,Feature film,
Q64768492,,,Canada,,Blake Mawson,,,,Canada,,,,Russian,Pyotr495 ,2016-01-01,http://www.wikidata.org/entity/Q64768492,,,,Feature film,
Q28393342,,,Canada,,,,,,Canada,,,,English,Queer Hutterite,2016-01-01,http://www.wikidata.org/entity/Q28393342,,,,Feature film,
Q66764390,,,Canada,,Gabrielle Zilkha,,,,Canada,,,,English,Queering the Script,2019-05-26,http://www.wikidata.org/entity/Q66764390,,,,Feature film,
